,Timestamp,Inventory Location Identifier,Product Identifier,Inventory Quantity,Safety Stock Levels,Carrying Costs
0,2023-01-01,Warehouse A,PROD001,654,64,0.12
1,2023-01-01,Warehouse A,PROD002,281,81,0.3
2,2023-01-01,Warehouse A,PROD003,754,63,0.71
3,2023-01-01,Warehouse B,PROD001,913,119,0.18
4,2023-01-01,Warehouse B,PROD002,432,54,0.13
5,2023-01-01,Warehouse B,PROD003,223,79,0.55
6,2023-01-01,Distribution Center X,PROD001,27,121,0.28
7,2023-01-01,Distribution Center X,PROD002,665,139,0.59
8,2023-01-01,Distribution Center X,PROD003,225,107,0.63
9,2023-01-01,Distribution Center Y,PROD001,828,50,0.78
10,2023-01-01,Distribution Center Y,PROD002,163,139,0.48
11,2023-01-01,Distribution Center Y,PROD003,284,69,0.29
12,2023-01-02,Warehouse A,PROD001,781,93,0.19
13,2023-01-02,Warehouse A,PROD002,389,62,0.42
14,2023-01-02,Warehouse A,PROD003,352,127,0.34
15,2023-01-02,Warehouse B,PROD001,44,143,0.51
16,2023-01-02,Warehouse B,PROD002,127,98,0.17
17,2023-01-02,Warehouse B,PROD003,300,130,0.66
18,2023-01-02,Distribution Center X,PROD001,882,96,0.62
19,2023-01-02,Distribution Center X,PROD002,721,58,0.14
20,2023-01-02,Distribution Center X,PROD003,233,148,0.36
21,2023-01-02,Distribution Center Y,PROD001,81,79,0.88
22,2023-01-02,Distribution Center Y,PROD002,389,85,0.51
23,2023-01-02,Distribution Center Y,PROD003,854,96,0.25
24,2023-01-03,Warehouse A,PROD001,363,76,0.7
25,2023-01-03,Warehouse A,PROD002,718,137,0.68
26,2023-01-03,Warehouse A,PROD003,623,131,0.25
27,2023-01-03,Warehouse B,PROD001,746,81,0.25
28,2023-01-03,Warehouse B,PROD002,388,84,0.99
29,2023-01-03,Warehouse B,PROD003,655,138,0.6
30,2023-01-03,Distribution Center X,PROD001,701,91,0.86
31,2023-01-03,Distribution Center X,PROD002,794,57,0.31
32,2023-01-03,Distribution Center X,PROD003,32,90,0.46
33,2023-01-03,Distribution Center Y,PROD001,67,77,0.92
34,2023-01-03,Distribution Center Y,PROD002,580,141,0.38
35,2023-01-03,Distribution Center Y,PROD003,671,113,0.46
36,2023-01-04,Warehouse A,PROD001,936,132,0.51
37,2023-01-04,Warehouse A,PROD002,271,67,0.32
38,2023-01-04,Warehouse A,PROD003,574,118,0.34
39,2023-01-04,Warehouse B,PROD001,598,104,0.91
40,2023-01-04,Warehouse B,PROD002,408,96,0.3
41,2023-01-04,Warehouse B,PROD003,141,115,0.54
42,2023-01-04,Distribution Center X,PROD001,773,56,0.87
43,2023-01-04,Distribution Center X,PROD002,156,130,0.24
44,2023-01-04,Distribution Center X,PROD003,696,104,0.64
45,2023-01-04,Distribution Center Y,PROD001,394,98,0.64
46,2023-01-04,Distribution Center Y,PROD002,479,117,0.33
47,2023-01-04,Distribution Center Y,PROD003,566,51,0.71
48,2023-01-05,Warehouse A,PROD001,117,137,0.9
49,2023-01-05,Warehouse A,PROD002,768,84,0.79
50,2023-01-05,Warehouse A,PROD003,348,64,0.36
51,2023-01-05,Warehouse B,PROD001,161,108,0.1
52,2023-01-05,Warehouse B,PROD002,739,142,0.34
53,2023-01-05,Warehouse B,PROD003,512,147,0.26
54,2023-01-05,Distribution Center X,PROD001,934,63,0.88
55,2023-01-05,Distribution Center X,PROD002,305,131,0.56
56,2023-01-05,Distribution Center X,PROD003,203,69,0.44
57,2023-01-05,Distribution Center Y,PROD001,165,119,0.96
58,2023-01-05,Distribution Center Y,PROD002,944,117,0.93
59,2023-01-05,Distribution Center Y,PROD003,613,91,0.54
60,2023-01-06,Warehouse A,PROD001,114,96,0.89
61,2023-01-06,Warehouse A,PROD002,851,89,0.32
62,2023-01-06,Warehouse A,PROD003,246,122,0.95
63,2023-01-06,Warehouse B,PROD001,87,143,0.54
64,2023-01-06,Warehouse B,PROD002,70,147,0.58
65,2023-01-06,Warehouse B,PROD003,128,66,0.69
66,2023-01-06,Distribution Center X,PROD001,969,120,0.25
67,2023-01-06,Distribution Center X,PROD002,540,127,0.48
68,2023-01-06,Distribution Center X,PROD003,216,119,0.78
69,2023-01-06,Distribution Center Y,PROD001,706,75,0.74
70,2023-01-06,Distribution Center Y,PROD002,408,135,0.68
71,2023-01-06,Distribution Center Y,PROD003,448,116,0.51
72,2023-01-07,Warehouse A,PROD001,253,78,0.16
73,2023-01-07,Warehouse A,PROD002,21,125,0.6
74,2023-01-07,Warehouse A,PROD003,602,78,0.11
75,2023-01-07,Warehouse B,PROD001,724,130,0.15
76,2023-01-07,Warehouse B,PROD002,69,54,0.87
77,2023-01-07,Warehouse B,PROD003,72,115,0.31
78,2023-01-07,Distribution Center X,PROD001,685,112,0.29
79,2023-01-07,Distribution Center X,PROD002,135,142,0.94
80,2023-01-07,Distribution Center X,PROD003,584,123,0.53
81,2023-01-07,Distribution Center Y,PROD001,803,110,0.83
82,2023-01-07,Distribution Center Y,PROD002,194,62,0.19
83,2023-01-07,Distribution Center Y,PROD003,441,95,0.48
84,2023-01-08,Warehouse A,PROD001,478,143,0.15
85,2023-01-08,Warehouse A,PROD002,669,132,0.19
86,2023-01-08,Warehouse A,PROD003,412,143,0.41
87,2023-01-08,Warehouse B,PROD001,882,63,0.32
88,2023-01-08,Warehouse B,PROD002,194,118,0.5
89,2023-01-08,Warehouse B,PROD003,432,73,0.35
90,2023-01-08,Distribution Center X,PROD001,255,59,0.5
91,2023-01-08,Distribution Center X,PROD002,882,120,0.19
92,2023-01-08,Distribution Center X,PROD003,667,119,0.85
93,2023-01-08,Distribution Center Y,PROD001,992,61,0.93
94,2023-01-08,Distribution Center Y,PROD002,869,80,0.25
95,2023-01-08,Distribution Center Y,PROD003,497,111,0.29
96,2023-01-09,Warehouse A,PROD001,410,57,0.25
97,2023-01-09,Warehouse A,PROD002,2,99,0.34
98,2023-01-09,Warehouse A,PROD003,802,150,0.51
99,2023-01-09,Warehouse B,PROD001,433,139,0.96
100,2023-01-09,Warehouse B,PROD002,802,121,0.7
101,2023-01-09,Warehouse B,PROD003,498,69,0.27
102,2023-01-09,Distribution Center X,PROD001,222,57,0.62
103,2023-01-09,Distribution Center X,PROD002,555,57,0.77
104,2023-01-09,Distribution Center X,PROD003,58,56,0.63
105,2023-01-09,Distribution Center Y,PROD001,514,117,0.24
106,2023-01-09,Distribution Center Y,PROD002,983,115,0.17
107,2023-01-09,Distribution Center Y,PROD003,190,58,0.64
108,2023-01-10,Warehouse A,PROD001,691,80,0.46
109,2023-01-10,Warehouse A,PROD002,964,122,0.32
110,2023-01-10,Warehouse A,PROD003,608,55,0.66
111,2023-01-10,Warehouse B,PROD001,429,134,0.63
112,2023-01-10,Warehouse B,PROD002,535,90,0.94
113,2023-01-10,Warehouse B,PROD003,209,135,0.74
114,2023-01-10,Distribution Center X,PROD001,244,83,0.46
115,2023-01-10,Distribution Center X,PROD002,687,132,0.37
116,2023-01-10,Distribution Center X,PROD003,323,146,0.94
117,2023-01-10,Distribution Center Y,PROD001,9,108,0.66
118,2023-01-10,Distribution Center Y,PROD002,576,62,0.17
119,2023-01-10,Distribution Center Y,PROD003,218,114,0.34
120,2023-01-11,Warehouse A,PROD001,955,94,0.89
121,2023-01-11,Warehouse A,PROD002,900,81,0.43
122,2023-01-11,Warehouse A,PROD003,161,106,0.85
123,2023-01-11,Warehouse B,PROD001,720,88,0.65
124,2023-01-11,Warehouse B,PROD002,826,133,0.58
125,2023-01-11,Warehouse B,PROD003,683,120,0.37
126,2023-01-11,Distribution Center X,PROD001,679,63,0.95
127,2023-01-11,Distribution Center X,PROD002,137,83,0.2
128,2023-01-11,Distribution Center X,PROD003,109,145,0.6
129,2023-01-11,Distribution Center Y,PROD001,278,86,0.64
130,2023-01-11,Distribution Center Y,PROD002,734,93,0.28
131,2023-01-11,Distribution Center Y,PROD003,649,83,0.55
132,2023-01-12,Warehouse A,PROD001,257,56,0.18
133,2023-01-12,Warehouse A,PROD002,433,85,0.14
134,2023-01-12,Warehouse A,PROD003,341,148,0.22
135,2023-01-12,Warehouse B,PROD001,268,70,0.77
136,2023-01-12,Warehouse B,PROD002,564,140,0.48
137,2023-01-12,Warehouse B,PROD003,9,64,0.17
138,2023-01-12,Distribution Center X,PROD001,904,138,0.91
139,2023-01-12,Distribution Center X,PROD002,558,54,0.85
140,2023-01-12,Distribution Center X,PROD003,596,120,0.23
141,2023-01-12,Distribution Center Y,PROD001,130,55,0.38
142,2023-01-12,Distribution Center Y,PROD002,920,55,0.91
143,2023-01-12,Distribution Center Y,PROD003,215,137,0.32
144,2023-01-13,Warehouse A,PROD001,105,95,0.8
145,2023-01-13,Warehouse A,PROD002,905,102,0.98
146,2023-01-13,Warehouse A,PROD003,767,69,0.93
147,2023-01-13,Warehouse B,PROD001,242,70,0.98
148,2023-01-13,Warehouse B,PROD002,830,72,0.89
149,2023-01-13,Warehouse B,PROD003,25,72,0.76
150,2023-01-13,Distribution Center X,PROD001,340,150,0.94
151,2023-01-13,Distribution Center X,PROD002,821,135,0.88
152,2023-01-13,Distribution Center X,PROD003,830,81,0.34
153,2023-01-13,Distribution Center Y,PROD001,806,139,0.2
154,2023-01-13,Distribution Center Y,PROD002,893,54,0.87
155,2023-01-13,Distribution Center Y,PROD003,227,75,0.83
156,2023-01-14,Warehouse A,PROD001,471,94,0.37
157,2023-01-14,Warehouse A,PROD002,814,79,0.3
158,2023-01-14,Warehouse A,PROD003,675,74,0.46
159,2023-01-14,Warehouse B,PROD001,285,58,0.97
160,2023-01-14,Warehouse B,PROD002,285,94,0.68
161,2023-01-14,Warehouse B,PROD003,409,136,0.98
162,2023-01-14,Distribution Center X,PROD001,549,92,0.95
163,2023-01-14,Distribution Center X,PROD002,118,83,0.26
164,2023-01-14,Distribution Center X,PROD003,985,83,0.13
165,2023-01-14,Distribution Center Y,PROD001,610,105,0.41
166,2023-01-14,Distribution Center Y,PROD002,805,90,0.49
167,2023-01-14,Distribution Center Y,PROD003,523,64,0.45
168,2023-01-15,Warehouse A,PROD001,590,74,0.33
