,Timestamp,Manufacturing Plant Identifier,Product Identifier,Production Quantity,Production Costs,Capacity Constraints
0,2023-01-02 14:07:01,Plant C,PROD003,91.62693151970645,13.48,114
1,2023-01-02 20:57:34,Plant B,PROD001,98.60366901512057,38.05,104
2,2023-01-02 06:38:01,Plant B,PROD003,169.47705582832012,23.61,128
3,2023-01-02 10:37:17,Plant A,PROD001,153.97050042845606,20.58,127
4,2023-01-03 07:06:05,Plant A,PROD002,98.15970552851103,34.74,193
5,2023-01-02 09:46:29,Plant B,PROD003,117.04592253694034,44.66,173
6,2023-01-03 18:56:55,Plant B,PROD002,89.97983268736868,47.47,135
7,2023-01-03 06:05:54,Plant C,PROD001,104.68353155619566,37.53,109
8,2023-01-03 18:23:22,Plant A,PROD001,109.36415483784329,20.71,187
9,2023-01-04 10:40:10,Plant A,PROD003,100.57422515512552,15.71,172
10,2023-01-04 08:44:35,Plant A,PROD001,114.83003533322028,18.77,131
11,2023-01-03 23:51:20,Plant A,PROD002,68.09660151874377,26.89,165
12,2023-01-04 23:20:13,Plant A,PROD003,148.2018514710928,37.21,149
13,2023-01-04 14:08:15,Plant A,PROD003,150.33601465157028,28.15,187
14,2023-01-05 04:25:23,Plant C,PROD001,146.41450164038667,43.67,192
15,2023-01-04 04:09:40,Plant C,PROD001,129.58854712782062,33.96,177
16,2023-01-05 22:33:16,Plant B,PROD003,166.57855188295355,45.12,102
17,2023-01-06 06:49:41,Plant A,PROD002,115.29709104922406,29.01,110
18,2023-01-06 23:56:46,Plant C,PROD002,173.75740568402028,37.59,121
19,2023-01-06 04:19:53,Plant C,PROD003,165.57183875054028,18.99,139
20,2023-01-07 01:49:59,Plant B,PROD003,129.91075068236705,12.7,102
21,2023-01-07 06:56:53,Plant A,PROD002,57.29037232933966,33.05,142
22,2023-01-06 16:46:31,Plant A,PROD001,169.57161963030507,28.68,200
23,2023-01-06 21:10:16,Plant C,PROD003,128.95614146236724,19.95,106
24,2023-01-08 14:44:12,Plant A,PROD003,114.92388532227658,42.32,168
25,2023-01-08 00:28:07,Plant C,PROD001,86.17864810191237,16.65,112
26,2023-01-08 03:14:00,Plant B,PROD001,145.26641295961622,47.06,161
27,2023-01-07 15:04:32,Plant B,PROD001,190.26894347135408,17.6,136
28,2023-01-09 11:36:30,Plant A,PROD001,117.18165391044984,46.78,107
29,2023-01-08 19:27:26,Plant C,PROD002,58.20851947141821,26.15,120
30,2023-01-08 23:46:21,Plant C,PROD001,80.83986794886142,47.39,131
31,2023-01-08 16:17:29,Plant A,PROD001,123.53863714456888,47.16,185
32,2023-01-09 10:41:34,Plant A,PROD001,178.90948293048731,15.3,101
33,2023-01-10 11:13:55,Plant B,PROD002,90.53408606556327,49.35,108
34,2023-01-09 19:18:27,Plant C,PROD003,192.25520482219068,20.58,167
35,2023-01-10 03:18:13,Plant A,PROD001,169.65816407321122,44.12,195
36,2023-01-10 03:37:30,Plant C,PROD003,89.75028333642034,10.14,162
37,2023-01-10 09:04:38,Plant A,PROD001,97.67818535576528,13.01,181
38,2023-01-10 17:37:38,Plant C,PROD001,69.63442585348513,24.59,119
39,2023-01-11 00:59:16,Plant A,PROD001,164.3406523767137,48.95,145
40,2023-01-12 11:41:19,Plant C,PROD002,171.5064936788406,10.99,119
41,2023-01-12 00:06:04,Plant C,PROD003,143.42816022894002,41.49,142
42,2023-01-11 12:56:15,Plant A,PROD002,96.14794491776604,42.82,148
43,2023-01-12 04:51:41,Plant A,PROD003,159.82817681684497,24.05,128
44,2023-01-12 12:56:08,Plant C,PROD002,75.97903304841532,17.14,151
45,2023-01-13 12:13:45,Plant B,PROD002,155.1461006272938,14.63,104
46,2023-01-13 08:57:58,Plant C,PROD001,165.33977965471377,47.61,124
47,2023-01-13 08:49:08,Plant C,PROD003,92.12678322995107,43.92,185
48,2023-01-14 00:00:07,Plant C,PROD001,87.93073007013827,26.82,138
49,2023-01-14 03:09:27,Plant B,PROD001,104.4598258851677,21.48,186
50,2023-01-13 17:57:22,Plant B,PROD001,96.64253703122836,41.75,200
51,2023-01-13 21:39:47,Plant C,PROD001,81.50669387067036,36.91,121
52,2023-01-15 04:01:11,Plant A,PROD003,173.76033162036703,26.58,125
53,2023-01-15 00:51:15,Plant C,PROD002,174.65375379581178,45.71,173
54,2023-01-14 23:14:12,Plant A,PROD002,99.36184899884944,46.7,199
55,2023-01-14 15:42:12,Plant A,PROD002,97.2131990654735,34.51,158
56,2023-01-16 02:41:32,Plant C,PROD002,145.96514281870685,20.37,164
57,2023-01-16 07:11:37,Plant A,PROD002,73.3946595108945,21.43,181
58,2023-01-16 09:27:38,Plant B,PROD003,109.33065426988551,18.56,142
59,2023-01-16 17:27:00,Plant B,PROD003,161.9016225013447,47.84,152
60,2023-01-16 20:23:27,Plant A,PROD001,109.74776460833084,31.53,197
61,2023-01-17 12:57:19,Plant C,PROD003,171.50406793398997,23.45,169
62,2023-01-17 06:08:12,Plant C,PROD002,147.17839809999532,33.68,151
63,2023-01-17 05:19:25,Plant C,PROD003,94.51548124997231,18.47,103
64,2023-01-17 22:41:20,Plant B,PROD002,135.79611251490599,28.81,143
65,2023-01-18 01:10:42,Plant C,PROD001,133.55048124113682,40.17,169
66,2023-01-17 14:43:19,Plant A,PROD001,80.48311480370516,28.6,125
67,2023-01-18 01:54:49,Plant B,PROD001,139.810255201976,48.59,198
68,2023-01-19 21:24:31,Plant A,PROD002,82.2504174575832,17.93,174
69,2023-01-18 07:49:27,Plant C,PROD001,163.00998690342223,41.85,188
70,2023-01-18 04:29:08,Plant C,PROD002,127.04739931701133,43.98,200
71,2023-01-18 20:39:52,Plant B,PROD003,119.95318527146567,39.35,113
72,2023-01-20 00:47:55,Plant C,PROD002,115.05059834498326,20.74,134
73,2023-01-20 03:31:40,Plant A,PROD001,130.1657221649554,11.15,111
74,2023-01-19 19:20:57,Plant B,PROD003,73.43074846661645,32.23,123
75,2023-01-20 19:13:04,Plant C,PROD002,118.26702227374889,38.47,124
76,2023-01-21 05:24:57,Plant B,PROD003,55.830379523355795,32.14,102
77,2023-01-20 23:00:22,Plant B,PROD002,125.4360578896734,14.83,154
78,2023-01-21 11:57:14,Plant A,PROD002,91.24681251985449,21.06,140
79,2023-01-21 03:43:51,Plant C,PROD002,71.63379889845234,22.09,197
80,2023-01-22 16:34:01,Plant C,PROD002,122.53645681250478,44.74,168
81,2023-01-21 06:55:29,Plant B,PROD001,100.01751775701656,20.1,113
82,2023-01-21 15:48:56,Plant B,PROD002,166.32466025807133,42.45,114
83,2023-01-21 10:30:01,Plant B,PROD003,70.2672898503871,41.03,110
84,2023-01-22 04:49:41,Plant B,PROD001,97.1981810454882,34.39,157
85,2023-01-22 13:08:30,Plant C,PROD003,139.3893846145766,32.08,112
86,2023-01-22 21:10:38,Plant A,PROD003,153.93059196523512,38.12,100
87,2023-01-22 16:06:37,Plant B,PROD001,174.77864931377005,27.01,109
88,2023-01-24 08:12:04,Plant C,PROD003,156.2684427491568,33.8,128
89,2023-01-24 15:38:51,Plant C,PROD001,167.01081261612546,29.75,136
90,2023-01-24 09:04:32,Plant A,PROD003,51.54649379487216,43.44,176
91,2023-01-23 19:23:40,Plant C,PROD002,88.10881725173833,28.82,175
92,2023-01-24 23:17:39,Plant C,PROD003,132.01053981835273,28.8,156
93,2023-01-25 08:54:15,Plant B,PROD001,110.15889330189061,47.81,142
94,2023-01-25 14:24:21,Plant C,PROD001,111.41549314430074,43.0,104
95,2023-01-25 00:21:17,Plant A,PROD003,101.88818948607552,35.02,184
96,2023-01-25 03:15:46,Plant A,PROD002,138.14899114619644,48.93,126
97,2023-01-26 02:31:28,Plant C,PROD001,93.13610123483869,28.46,130
98,2023-01-26 13:37:23,Plant A,PROD002,145.0573171188641,49.21,182
99,2023-01-25 14:44:29,Plant A,PROD002,104.66816378279978,21.05,158
100,2023-01-26 22:47:34,Plant B,PROD003,89.76899267303492,33.2,143
101,2023-01-27 07:48:33,Plant C,PROD003,75.55620845204434,28.21,162
102,2023-01-26 16:19:00,Plant B,PROD003,82.54375071260523,39.79,124
103,2023-01-27 00:08:40,Plant C,PROD002,70.65601960725091,15.05,148
104,2023-01-28 10:11:03,Plant C,PROD002,85.16160818636901,15.77,142
105,2023-01-27 21:40:43,Plant C,PROD001,82.93255957220263,44.07,119
106,2023-01-27 09:07:35,Plant C,PROD002,160.445123649242,34.7,168
107,2023-01-28 09:28:58,Plant A,PROD002,136.8756156899194,38.16,180
108,2023-01-28 13:39:47,Plant A,PROD001,127.17689204467452,24.99,156
109,2023-01-28 20:11:35,Plant A,PROD001,56.15358485074744,34.79,131
110,2023-01-28 10:02:14,Plant A,PROD002,92.19906621108609,45.96,163
111,2023-01-29 04:59:16,Plant B,PROD003,148.177464469036,48.48,136
112,2023-01-30 06:14:41,Plant C,PROD001,84.26837477166579,32.88,132
113,2023-01-30 14:47:52,Plant C,PROD003,135.24275217064846,44.6,137
114,2023-01-29 20:17:32,Plant C,PROD003,159.38441766964982,34.28,106
115,2023-01-30 04:20:38,Plant B,PROD002,82.0481032120255,35.13,128
116,2023-01-31 04:37:01,Plant C,PROD003,133.05053540422824,23.07,182
117,2023-01-31 01:41:28,Plant B,PROD002,154.14381310097906,43.22,122
118,2023-01-30 05:30:22,Plant B,PROD002,120.21609473640078,15.63,161
119,2023-01-31 02:44:31,Plant A,PROD002,148.7938198021099,10.56,186
120,2023-01-31 14:20:16,Plant C,PROD002,195.30737845161605,14.33,115
121,2023-01-31 03:42:55,Plant A,PROD003,132.99538720168405,35.42,160
122,2023-02-01 07:40:28,Plant B,PROD001,99.85258518598252,14.64,189
123,2023-02-01 12:31:07,Plant A,PROD001,162.08152082108163,33.49,168
124,2023-02-02 02:00:35,Plant C,PROD002,110.61127789166518,11.31,119
125,2023-02-01 21:41:53,Plant B,PROD001,177.94720926916682,46.07,127
126,2023-02-01 18:30:15,Plant C,PROD002,87.76726533193447,36.51,145
127,2023-02-02 18:56:08,Plant C,PROD001,152.3344518819556,18.21,181
128,2023-02-03 12:17:52,Plant C,PROD001,192.92320004395575,10.11,126
129,2023-02-03 09:31:55,Plant A,PROD001,149.670057785189,41.6,116
130,2023-02-03 17:24:29,Plant A,PROD002,153.80249813953967,12.54,175
131,2023-02-03 13:02:20,Plant B,PROD003,160.44718501776103,41.33,199
132,2023-02-04 11:50:52,Plant C,PROD003,148.28140306090668,37.44,166
133,2023-02-04 03:21:55,Plant B,PROD001,66.330373817841,34.97,191
134,2023-02-03 18:26:55,Plant C,PROD003,68.3817842216523,13.97,170
135,2023-02-04 13:25:41,Plant C,PROD001,181.31468488714157,45.52,114
136,2023-02-05 05:45:56,Plant B,PROD002,63.34689401741912,24.97,143
137,2023-02-05 09:14:47,Plant A,PROD001,64.51749906500785,24.91,187
138,2023-02-05 12:10:44,Plant A,PROD002,70.9996860396728,47.65,171
139,2023-02-04 16:27:09,Plant B,PROD001,101.21104520123478,36.27,192
140,2023-02-05 19:05:39,Plant A,PROD002,146.35790918033004,43.81,113
141,2023-02-05 08:29:40,Plant C,PROD002,107.63569564483485,17.22,178
142,2023-02-05 22:43:34,Plant C,PROD001,124.11874953662017,12.78,197
143,2023-02-05 19:44:16,Plant C,PROD002,84.27296142125337,24.8,181
144,2023-02-07 03:24:36,Plant C,PROD002,91.65007968038348,11.99,141
145,2023-02-07 14:25:17,Plant A,PROD001,155.36338923257262,14.55,134
146,2023-02-07 12:31:53,Plant B,PROD002,152.12282640642601,49.38,114
147,2023-02-06 23:16:43,Plant A,PROD003,183.86578825762584,10.31,100
148,2023-02-08 08:41:02,Plant C,PROD002,64.52767344257569,12.88,155
149,2023-02-07 22:20:47,Plant C,PROD002,81.20667355193564,38.38,105
150,2023-02-08 10:33:32,Plant B,PROD002,90.16531346598651,46.79,137
151,2023-02-07 19:47:55,Plant A,PROD002,128.76478482921996,39.83,155
152,2023-02-08 19:55:43,Plant A,PROD003,111.57982578176042,24.04,142
153,2023-02-08 23:50:25,Plant C,PROD001,130.08193483165883,13.01,118
154,2023-02-09 18:16:37,Plant C,PROD002,127.36822315595526,35.41,163
155,2023-02-09 05:56:35,Plant C,PROD002,87.20911483227938,41.85,141
