,Timestamp,Route Identifier,Transportation Mode,Origin Location,Destination Location,Shipment Quantity,Transportation Costs
0,2023-01-01,Route A,Truck,City A,City Z,32,230.98
1,2023-01-01,Route A,Truck,City A,City W,5,39.5
2,2023-01-01,Route A,Ship,City B,City X,72,206.85
3,2023-01-01,Route B,Pipeline,City D,City Y,58,593.37
4,2023-01-01,Route B,Truck,City B,City W,44,285.09
5,2023-01-01,Route B,Ship,City C,City X,12,386.13
6,2023-01-01,Route C,Air,City C,City Z,6,732.43
7,2023-01-01,Route C,Pipeline,City A,City W,11,556.52
8,2023-01-01,Route C,Pipeline,City C,City Y,91,78.86
9,2023-01-01,Route D,Ship,City C,City X,30,867.82
10,2023-01-01,Route D,Rail,City C,City W,82,835.77
11,2023-01-01,Route D,Ship,City C,City Z,27,673.47
12,2023-01-02,Route A,Truck,City B,City Y,21,467.64
13,2023-01-02,Route A,Air,City B,City Z,99,778.24
14,2023-01-02,Route A,Ship,City A,City Z,52,275.06
15,2023-01-02,Route B,Ship,City C,City Y,84,504.24
16,2023-01-02,Route B,Rail,City B,City Z,18,254.16
17,2023-01-02,Route B,Pipeline,City C,City W,75,405.41
18,2023-01-02,Route C,Ship,City B,City W,12,758.22
19,2023-01-02,Route C,Truck,City B,City Y,88,427.94
20,2023-01-02,Route C,Truck,City D,City W,77,996.16
21,2023-01-02,Route D,Pipeline,City C,City X,88,723.51
22,2023-01-02,Route D,Pipeline,City C,City Z,15,300.57
23,2023-01-02,Route D,Ship,City D,City X,93,877.09
24,2023-01-03,Route A,Air,City B,City X,81,305.46
25,2023-01-03,Route A,Pipeline,City B,City Y,48,764.89
26,2023-01-03,Route A,Pipeline,City A,City Z,63,29.28
27,2023-01-03,Route B,Air,City C,City Y,8,248.46
28,2023-01-03,Route B,Pipeline,City A,City X,94,491.13
29,2023-01-03,Route B,Truck,City B,City Y,85,480.53
30,2023-01-03,Route C,Pipeline,City B,City Z,68,873.71
31,2023-01-03,Route C,Rail,City B,City Y,92,318.6
32,2023-01-03,Route C,Air,City D,City W,16,255.43
33,2023-01-03,Route D,Truck,City C,City X,76,558.38
34,2023-01-03,Route D,Pipeline,City B,City X,10,710.76
35,2023-01-03,Route D,Truck,City B,City X,5,861.04
36,2023-01-04,Route A,Truck,City B,City Z,86,490.56
37,2023-01-04,Route A,Pipeline,City B,City W,32,786.77
38,2023-01-04,Route A,Rail,City B,City X,13,662.39
39,2023-01-04,Route B,Air,City D,City W,60,865.2
40,2023-01-04,Route B,Truck,City A,City X,52,730.93
41,2023-01-04,Route B,Truck,City B,City Y,25,540.92
42,2023-01-04,Route C,Ship,City D,City Y,36,468.0
43,2023-01-04,Route C,Truck,City D,City X,7,655.62
44,2023-01-04,Route C,Pipeline,City A,City X,97,850.21
45,2023-01-04,Route D,Ship,City D,City W,62,221.61
46,2023-01-04,Route D,Rail,City A,City Y,49,12.13
47,2023-01-04,Route D,Rail,City C,City W,37,428.78
48,2023-01-05,Route A,Pipeline,City D,City Y,25,303.74
49,2023-01-05,Route A,Truck,City A,City Z,8,59.64
50,2023-01-05,Route A,Rail,City B,City X,66,89.31
51,2023-01-05,Route B,Ship,City A,City X,87,863.2
52,2023-01-05,Route B,Rail,City A,City Y,75,598.57
53,2023-01-05,Route B,Pipeline,City A,City W,85,587.84
54,2023-01-05,Route C,Pipeline,City C,City Z,27,673.03
55,2023-01-05,Route C,Air,City B,City Z,51,139.57
56,2023-01-05,Route C,Air,City D,City Z,97,936.38
57,2023-01-05,Route D,Truck,City D,City X,10,542.26
58,2023-01-05,Route D,Pipeline,City C,City Y,45,882.06
59,2023-01-05,Route D,Ship,City C,City Z,21,443.8
60,2023-01-06,Route A,Pipeline,City C,City X,86,818.93
61,2023-01-06,Route A,Air,City A,City Y,34,124.27
62,2023-01-06,Route A,Truck,City B,City Z,37,608.78
63,2023-01-06,Route B,Air,City B,City Z,65,493.65
64,2023-01-06,Route B,Truck,City A,City W,36,53.65
65,2023-01-06,Route B,Air,City B,City Z,21,743.82
66,2023-01-06,Route C,Pipeline,City D,City X,15,84.49
67,2023-01-06,Route C,Ship,City A,City Z,75,557.0
68,2023-01-06,Route C,Rail,City B,City X,40,371.01
